id	name	lat	lng	type	openDate	price	tags	description
201	용인 캐리비안 베이	37.2954	127.2025	waterpark	상시 개방	시즌별 상이	#국내최대 #메가스톰	국내 최대 규모 워터파크! 메가스톰, 유수풀, 실내외 파도풀 등 대한민국 여름의 성지입니다.
202	홍천 오션월드 (비발디파크)	37.6444	127.6833	waterpark	상시 개방	시즌별 상이	#몬스터블라스터 #셔틀버스	강원도 맑은 공기 속에서 즐기는 압도적 스릴! 수도권 무료 셔틀버스로 접근성이 매우 좋습니다.
203	고양 원마운트 워터파크	37.6625	126.7533	waterpark	상시 개방	시즌별 상이	#일산핫플 #도심워터파크	일산 도심 한복판에 위치해 대중교통으로 가기 편하고 실내/실외 시설이 모두 잘 갖춰져 있습니다.
204	천안 소노벨 오션어드벤처	36.7583	127.2844	waterpark	상시 개방	시즌별 상이	#유러피안 #가족단위	유럽의 성을 연상시키는 아름다운 테마 워터파크! 아이들을 위한 실내 키즈풀이 유명합니다.
205	아산 스파비스	36.8528	126.9856	waterpark	상시 개방	시즌별 상이	#온천워터파크 #나이트스파	100% 천연 온천수를 사용하는 워터파크로, 튜브 슬라이드와 파도풀에서 놀고 피로까지 풀 수 있어요.
206	예산 스플라스 리솜	36.6853	126.7818	waterpark	상시 개방	시즌별 상이	#온천수 #마스터블라스터	전 시설에 49도 보양 온천수가 공급되어 사계절 내내 따뜻하게 즐길 수 있는 웰니스 워터파크.
207	제천 해브나인 힐링스파	37.1856	128.0518	waterpark	상시 개방	시즌별 상이	#포레스트리솜 #인피니티풀	숲을 바라보며 수영하는 인피니티풀과 프라이빗한 스톤 스파에서 인생샷을 남길 수 있는 곳!
208	단양 소노문 오션플레이	36.9856	128.3618	waterpark	상시 개방	시즌별 상이	#단양팔경 #바데풀	수중 마사지를 받을 수 있는 바데풀과 아이들이 안전하게 놀 수 있는 시설이 잘 되어있습니다.
209	경주 블루원 워터파크	35.8283	129.2856	waterpark	2026-06-20	시즌별 상이	#국내최고파도 #영남권최대	국내 최고 높이인 2.6m 파도풀(스톰웨이브)의 압도적인 스케일! 영남권 워터파크의 자존심.
210	거제 소노캄 오션어드벤처	34.8458	128.7189	waterpark	상시 개방	시즌별 상이	#남해바다뷰 #실내외풀	거제도 앞바다가 한눈에 들어오는 환상적인 오션뷰 워터파크. 다양한 어트랙션이 가득!
211	통영 스탠포드호텔 인피니티풀	34.8256	128.4356	waterpark	상시 개방	투숙객 전용	#오션뷰 #루프탑	호텔 루프탑에서 한려수도의 절경을 내려다보며 즐기는 최고급 인피니티풀.
212	부천 웅진플레이도시 워터파크	37.4958	126.7456	waterpark	상시 개방	시즌별 상이	#투니플레이 #사계절실내	수도권 최대 규모의 실내 워터파크! 날씨 걱정 없이 뽀로로 파크와 스파를 동시에 즐기세요.
213	하남 스타필드 아쿠아필드	37.5456	127.2231	waterpark	상시 개방	시즌별 상이	#스타필드 #인피니티풀	쇼핑 후 즐기는 럭셔리 휴양! 루프탑 인피니티 풀에서 한강과 검단산 뷰를 즐길 수 있습니다.
214	고양 스타필드 아쿠아필드	37.6456	126.8956	waterpark	상시 개방	시즌별 상이	#루프탑수영장 #가족휴양	북한산을 바라보는 탁 트인 야외 수영장과 고급스러운 찜질 스파를 갖춘 도심 속 힐링 스팟.
