id	name	lat	lng	type	openDate	price	tags	description
1	뚝섬 한강공원 수영장	37.5284	127.0673	cheap	2026-06-20	5,000원	#가성비 #야간개장 #한강뷰	한강을 바라보며 저렴한 가격에 물놀이를 즐길 수 있는 최고의 가성비 명소! 썬베드도 저렴해요.
2	여의도 한강공원 수영장	37.5289	126.9329	cheap	2026-06-20	5,000원	#도심속피서 #접근성최고	여의도 빌딩 숲 한가운데서 즐기는 짜릿한 물놀이. 대중교통 접근성이 뛰어납니다.
3	해운대 해수욕장	35.1587	129.1604	beach	2026-06-01	무료	#대한민국대표 #야간개장	대한민국 최고의 해수욕장! 올해는 6월 1일부터 부분 개장하며, 파라솔 대여료 정찰제를 실시합니다.
4	광교 호수공원 바닥분수	37.2831	127.0655	free	상시 개방	무료	#무료 #아이와함께	아이들이 안전하게 뛰어놀 수 있는 거대한 바닥분수! 돗자리를 펴고 치맥을 즐기기도 좋습니다.
5	가평 명지계곡	37.8920	127.4891	valley	상시 개방	무료	#취사가능 #계곡물놀이	맑고 깨끗한 1급수 계곡! 일부 지정 구역에서는 텐트 설치와 간단한 취사가 가능해 인기폭발입니다.
6	일산 호수공원 노래하는 분수대	37.6599	126.7570	free	상시 개방	무료	#야간음악분수 #데이트코스	낮에는 시원한 바닥분수, 밤에는 화려한 음악분수로 변신! 아이들과 연인들 모두에게 완벽해요.
7	제주 함덕 해수욕장	33.5431	126.6693	beach	2026-06-24	무료	#에메랄드빛 #인생샷	한국의 몰디브! 에메랄드빛 바다와 하얀 백사장이 어우러진 이국적인 풍경을 자랑합니다.
8	속초 해수욕장	38.1904	128.6033	beach	2026-07-01	무료	#대관람차 #접근성	고속버스터미널에서 걸어서 5분! 해변에 있는 거대한 속초아이 대관람차에서 멋진 풍경도 감상하세요.
9	인천 월미도 물놀이장	37.4746	126.5960	free	2026-07-15	무료	#테마파크 #가족여행	월미테마파크 바로 옆에 위치한 무료 물놀이장! 놀이기구도 타고 물놀이도 하고 일석이조!
10	안양 삼막사 계곡	37.4243	126.9248	valley	상시 개방	무료	#서울근교 #당일치기	서울에서 차로 30분 거리! 관악산 자락의 맑은 물과 얕은 수심으로 유아 동반 가족에게 최적입니다.
11	송파 성내천 물놀이장	37.5113	127.1189	free	2026-07-01	무료	#도심하천 #그늘막	성내천을 따라 길게 조성된 무료 물놀이장! 지하철역과 가깝고 그늘막 시설이 잘 되어 있습니다.
